City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,hualmay,-11.0964,-77.6139,296.75,79,97,1.82,PE,1676605145
290,wanaka,-44.7,169.15,295.81,35,84,1.88,NZ,1676605000
291,khatanga,71.9667,102.5,252.89,99,100,1.19,RU,1676605146
292,sambava,-14.2667,50.1667,297.65,89,82,1.77,MG,1676605146
293,taltal,-25.4,-70.4833,293.44,88,1,1.22,CL,1676605147
294,etchojoa,26.9167,-109.6333,287.19,56,100,4.13,MX,1676605147
295,ouadda,8.0777,22.4007,291.13,23,63,3.98,CF,1676605148
296,severnyy,50.677,36.5532,263.17,92,75,4.0,RU,1676605148
297,esperance,-33.8667,121.9,295.93,57,4,5.66,AU,1676605149
298,ayorou,14.7308,0.9174,291.65,16,63,7.05,NE,1676605149
299,kattivakkam,13.2167,80.3167,299.86,79,2,1.19,IN,1676605150
300,sur,22.5667,59.5289,297.83,46,14,1.36,OM,1676605150
301,reconquista,-29.15,-59.65,292.73,77,85,9.0,AR,1676605150
302,orange,33.7,-117.7675,287.28,38,100,1.32,US,1676605151
303,southbridge,42.0751,-72.0334,285.2,92,100,1.75,US,1676604992
304,hofn,64.2539,-15.2082,272.5,63,100,6.39,IS,1676605151
305,izhma,65.0083,53.9113,256.91,96,30,3.15,RU,1676605152
306,riyadh,24.6877,46.7219,283.23,43,1,6.02,SA,1676605152
307,namibe,-15.1961,12.1522,294.61,85,45,1.93,AO,1676605153
308,tiarei,-17.5333,-149.3333,303.15,74,31,4.63,PF,1676605153
309,mount isa,-20.7333,139.5,296.02,100,100,5.14,AU,1676605153
310,alamos,27.0167,-108.9333,286.77,33,94,1.07,MX,1676605154
311,grado,43.388,-6.0743,282.73,99,34,1.54,ES,1676605154
312,santa ines,-3.6667,-45.38,295.56,99,100,1.51,BR,1676605155
313,isiro,2.7739,27.616,288.95,44,25,1.46,CD,1676605155
314,omboue,-1.5746,9.2618,298.72,88,100,1.58,GA,1676605156
315,broken hill,-31.95,141.4333,312.22,11,0,4.99,AU,1676605156
316,magadan,59.5667,150.8,260.67,74,100,2.0,RU,1676605156
317,cockburn town,21.4612,-71.1419,297.7,73,93,11.26,TC,1676605157
318,sitka,57.0531,-135.33,275.09,87,75,2.06,US,1676605157
319,phan thiet,10.9333,108.1,303.59,48,53,5.64,VN,1676605158
320,biloela,-24.4167,150.5,305.34,29,100,4.35,AU,1676605158
321,egvekinot,66.3167,-179.1667,243.07,88,100,5.21,RU,1676605158
322,opuwo,-18.0607,13.84,288.31,50,26,1.49,NA,1676605159
323,kjollefjord,70.9457,27.3465,275.18,69,20,4.63,NO,1676605159
324,berdigestyakh,62.0989,126.6992,257.65,91,100,1.86,RU,1676605160
325,las vegas,36.175,-115.1372,280.56,24,0,3.6,US,1676604943
326,crotone,39.0851,17.1178,283.26,76,54,1.31,IT,1676605160
327,nemuro,43.3236,145.575,271.09,72,83,5.41,JP,1676605161
328,caborca,30.5838,-111.101,282.94,22,9,3.25,MX,1676605161
329,ondjiva,-17.0667,15.7333,290.35,39,32,2.89,AO,1676605162
330,mananara,-16.1667,49.7667,297.75,86,67,1.27,MG,1676605162
331,yar-sale,66.8333,70.8333,265.3,88,100,4.76,RU,1676605163
332,abadiania,-16.2042,-48.7069,293.66,91,100,0.55,BR,1676605163
333,valdivia,-39.8142,-73.2459,285.2,62,67,1.7,CL,1676605164
334,kolo,52.2002,18.6387,275.99,92,93,3.73,PL,1676605017
335,tilichiki,60.4667,166.1,250.09,86,98,4.02,RU,1676605164
336,wanning,18.8003,110.3967,296.01,73,73,4.32,CN,1676605165
337,port hardy,50.6996,-127.4199,276.25,100,100,2.06,CA,1676605165
338,naushki,50.3828,106.1056,255.62,91,92,1.28,RU,1676605166
339,woodward,36.4337,-99.3904,269.8,72,0,2.57,US,1676605166
340,aksu,41.1231,80.2644,275.48,43,77,1.06,CN,1676605166
341,zyryanka,65.75,150.85,239.97,89,38,0.75,RU,1676605167
